goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,색감,퀄리티_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대,색감_편차,색감_편차절대,리뷰내용_clean,리뷰내용_norm,laugh_count,cry_count,exclamation_count,question_count,emoji_count,has_repetition,text_length_orig,한글_글자수,전체_글자수,is_valid_for_topic,작성자_norm,옵션키,세션,long_gap_review,그룹크기,action,dup_flag,is_base,kept_id
5249171,84548747,general,천원짜리,이쁘네용 재질도 좋고 두께도 적당해요. 팔 올려서 입으면 2배로 더 이뻐지는 느낌입니당,5.0,False,M,173.0,67.0,남성,2026-05-18 03:09:25,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,True,0,filluminate,상의,M,,2026,5,18,월,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,3.0,3.0,,0.0,0.0,0.0,0.0,,,이쁘네용 재질도 좋고 두께도 적당해요. 팔 올려서 입으면 2배로 더 이뻐지는 느낌입니당,이쁘네용재질도좋고두께도적당해요팔올려서입으면2배로더이뻐지는느낌입니당,0,0,0,0,0,False,48,35,48,True,천원짜리,"('M', None)",0,False,2,keep,multi_type_unique,True,84548747
6352774,84548949,experience,goddes,"우선 160에 48 여자가 S입기에 딱 좋았어요  약간 크다고 느낄수도 있지만, 더운에 너무 달라붙는 옷보단 약간 여유있어서 맘에들었어요   너무 말라보이는게 싫어서 양옆으로 퍼진 스프라이트 옷을 좋아하는데  카키색 항아리바지와, 브라운 반팔티와, 베이지색 크록스에, 브라운 키링까지 베이지 브라운 톤으로 맞춰 입어봤는데 너무 맘에들어요 ㅎㅎ  목부분이 2단으로 박음질 되어있는게 늘어남 방지로 너무 감동적이엇고, 옷이 너무 얇아도 각이 안나와서 저렴해보일수잇는데  옷이 너무 얇지도, 너무 두껍지도 않은 부분이 맘에들었습니다   남녀공용 너무 좋고, 청바지, 트레이닝바지, 등 깔끔한바지 뭐든  잘어울릴것같네요 ㅎㅎ",5.0,True,S,160.0,48.0,여성,2026-05-18 04:54:26,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 두께감: 두꺼움 / 신축성: 강함,True,1,filluminate,상의,S,,2026,5,18,월,5,응답,조금 큼,화면과 비슷,,,두꺼움,강함,,,4.0,4.0,,1.0,1.0,0.0,0.0,,,"우선 160에 48 여자가 S입기에 딱 좋았어요 약간 크다고 느낄수도 있지만, 더운에 너무 달라붙는 옷보단 약간 여유있어서 맘에들었어요 너무 말라보이는게 싫어서 양옆으로 퍼진 스프라이트 옷을 좋아하는데 카키색 항아리바지와, 브라운 반팔티와, 베이지색 크록스에, 브라운 키링까지 베이지 브라운 톤으로 맞춰 입어봤는데 너무 맘에들어요 ㅎㅎ 목부분이 2단으로 박음질 되어있는게 늘어남 방지로 너무 감동적이엇고, 옷이 너무 얇아도 각이 안나와서 저렴해보일수잇는데 옷이 너무 얇지도, 너무 두껍지도 않은 부분이 맘에들었습니다 남녀공용 너무 좋고, 청바지, 트레이닝바지, 등 깔끔한바지 뭐든 잘어울릴것같네요 ㅎㅎ",우선160에48여자가s입기에딱좋았어요약간크다고느낄수도있지만더운에너무달라붙는옷보단약간여유있어서맘에들었어요너무말라보이는게싫어서양옆으로퍼진스프라이트옷을좋아하는데카키색항아리바지와브라운반팔티와베이지색크록스에브라운키링까지베이지브라운톤으로맞춰입어봤는데너무맘에들어요목부분이2단으로박음질되어있는게늘어남방지로너무감동적이엇고옷이너무얇아도각이안나와서저렴해보일수잇는데옷이너무얇지도너무두껍지도않은부분이맘에들었습니다남녀공용너무좋고청바지트레이닝바지등깔끔한바지뭐든잘어울릴것같네요,2,0,0,0,0,True,345,243,336,True,goddes,"('S', None)",0,False,1,keep,unique,True,84548949
﻿1015137,84549347,general,아싸가효리,요즘입기 딱 좋은거같습니다 조금은 두꺼운감이있으나  빳빳한맛이있어서 이쁘네요,5.0,False,브라운 · L,170.0,80.0,남성,2026-05-18 07:08:13,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,False,0,jemut,상의,L,브라운,2026,5,18,월,5,응답,조금 큼,화면과 비슷,보통,약간 있음,,,,3.0,,,3.0,1.0,1.0,0.0,0.0,,,요즘입기 딱 좋은거같습니다 조금은 두꺼운감이있으나 빳빳한맛이있어서 이쁘네요,요즘입기딱좋은거같습니다조금은두꺼운감이있으나빳빳한맛이있어서이쁘네요,0,0,0,0,0,False,42,35,41,True,아싸가효리,"('L', '브라운')",0,False,1,keep,unique,True,84549347
﻿5374695,84549886,general,S1L77Y,"더울줄 알았는데 그렇게 두껍진 않아서 괜찮아요, 핏도 이쁨",5.0,False,S,174.0,59.0,남성,2026-05-18 08:12:05,사이즈: 조금 큼 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 매우 좋음 / 신축성: 적당함,False,0,filluminate,하의,S,,2026,5,18,월,5,응답,조금 큼,화면과 비슷,매우 좋음,,,적당함,,5.0,3.0,,,1.0,1.0,0.0,0.0,,,"더울줄 알았는데 그렇게 두껍진 않아서 괜찮아요, 핏도 이쁨",더울줄알았는데그렇게두껍진않아서괜찮아요핏도이쁨,0,0,0,0,0,False,32,24,32,True,S1L77Y,"('S', None)",0,False,1,keep,unique,True,84549886
4987047,84549911,general,산딸기딸기,옷 핏이 크롭해서 너무 좋습니다 색깔도 너무 맘에 들어요,5.0,False,그레이 · XL,178.0,80.0,남성,2026-05-18 08:15:08,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,False,0,jemut,상의,XL,그레이,2026,5,18,월,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,3.0,3.0,,0.0,0.0,0.0,0.0,,,옷 핏이 크롭해서 너무 좋습니다 색깔도 너무 맘에 들어요,옷핏이크롭해서너무좋습니다색깔도너무맘에들어요,0,0,0,0,0,False,31,23,31,True,산딸기딸기,"('XL', '그레이')",0,False,1,keep,unique,True,84549911
4720611,84550038,general,나나횬,"늦은 봄, 여름에 입기에는 살짝 두꺼워서 얼마 못입긴했지만 사이즈 넉넉하고, 디자인은 예뻐요.",5.0,False,LARGE,174.0,70.0,남성,2026-05-18 08:26:15,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 두께감: 적당함,False,0,travel,아우터,LARGE,,2026,5,18,월,5,응답,정사이즈,화면과 비슷,보통,,적당함,,,3.0,,3.0,,0.0,0.0,0.0,0.0,,,"늦은 봄, 여름에 입기에는 살짝 두꺼워서 얼마 못입긴했지만 사이즈 넉넉하고, 디자인은 예뻐요.",늦은봄여름에입기에는살짝두꺼워서얼마못입긴했지만사이즈넉넉하고디자인은예뻐요,0,0,0,0,0,False,52,38,52,True,나나횬,"('LARGE', None)",0,False,1,keep,unique,True,84550038
4987047,84550097,general,진혁전,"기장이 딱 예쁜 크롭핏이라 부담 없이 입기 좋고, 소재도 부드러워 만족스럽습니다!",5.0,False,브릭레드 · XL,178.0,78.0,남성,2026-05-18 08:31:44,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 두께감: 적당함 / 신축성: 적당함,False,0,jemut,상의,XL,브릭레드,2026,5,18,월,5,응답,정사이즈,화면과 비슷,,,적당함,적당함,,,3.0,3.0,,0.0,0.0,0.0,0.0,,,"기장이 딱 예쁜 크롭핏이라 부담 없이 입기 좋고, 소재도 부드러워 만족스럽습니다!",기장이딱예쁜크롭핏이라부담없이입기좋고소재도부드러워만족스럽습니다,0,0,1,0,0,False,45,33,45,True,진혁전,"('XL', '브릭레드')",0,False,1,keep,unique,True,84550097
1884943,84550569,general,귀중한크림장갑,자연스러운 색감으로 예뻐요. 여름에 시원하게 입을 수 있어요,3.0,False,LARGE,180.0,69.0,남성,2026-05-18 08:59:48,사이즈: 정사이즈 / 화면 대비 색감: 어두움 / 두께감: 얇음 / 신축성: 적당함,False,0,travel,상의,LARGE,,2026,5,18,월,3,응답,정사이즈,어두움,,,얇음,적당함,,,3.0,2.0,,0.0,0.0,-1.0,1.0,,,자연스러운 색감으로 예뻐요. 여름에 시원하게 입을 수 있어요,자연스러운색감으로예뻐요여름에시원하게입을수있어요,0,0,0,0,0,False,33,25,33,True,귀중한크림장갑,"('LARGE', None)",0,False,1,keep,unique,True,84550569
3791988,84550628,general,절제된동묘민소매,사이즈듀 괜찮고 색도 핏도 예뻐요!! 잘 산 거 같아요,5.0,False,L,184.0,65.0,남성,2026-05-18 09:02:40,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,2,filluminate,하의,L,,2026,5,18,월,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,3.0,,,0.0,0.0,0.0,0.0,,,사이즈듀 괜찮고 색도 핏도 예뻐요!! 잘 산 거 같아요,사이즈듀괜찮고색도핏도예뻐요잘산거같아요,0,0,2,0,0,False,30,20,30,True,절제된동묘민소매,"('L', None)",0,False,1,keep,unique,True,84550628
﻿3963796,84550854,general,예민한대구스카프,컬러 프린팅 착용감 다 좋음 같은 디자인의 다른 컬러 구매의사 있음,5.0,False,EXTRA LARGE,178.0,75.0,남성,2026-05-18 09:17:39,사이즈: 정사이즈 / 화면 대비 색감: 어두움 / 두께감: 적당함 / 신축성: 강함,False,0,travel,상의,EXTRA LARGE,,2026,5,18,월,5,응답,정사이즈,어두움,,,적당함,강함,,,4.0,3.0,,0.0,0.0,-1.0,1.0,,,컬러 프린팅 착용감 다 좋음 같은 디자인의 다른 컬러 구매의사 있음,컬러프린팅착용감다좋음같은디자인의다른컬러구매의사있음,0,0,0,0,0,False,37,27,37,True,예민한대구스카프,"('EXTRA LARGE', None)",0,False,1,keep,unique,True,84550854
