goodsNo,리뷰번호,리뷰타입,작성자,리뷰내용,평점,체험단,구매옵션,키,몸무게,성별,작성일,만족도,사진유무,도움돼요,브랜드,카테고리,구매사이즈,구매상세,연도,월,일,요일,평점_raw,만족도_응답여부,사이즈,화면대비색감,퀄리티,구김,두께감,신축성,보온성,퀄리티_점수,보온성_점수,신축성_점수,두께감_점수,구김_점수,사이즈_편차,사이즈_편차절대,화면대비색감_편차,화면대비색감_편차절대,리뷰내용_clean,리뷰내용_norm,laugh_count,cry_count,exclamation_count,question_count,emoji_count,has_repetition,text_length_orig,한글_글자수,전체_글자수,is_valid_for_topic,작성자_norm,옵션키,세션,long_gap_review,그룹크기,action,dup_flag,is_base,kept_id
6140883,84795948,style,wowowok,체크셔츠 필요해서 구매했는데 시원하고 이뻐요,5.0,False,S,177.0,70.0,남성,2026-05-28 17:43:28,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 구김: 약간 있음,True,0,filluminate,상의,S,,2026,5,28,목,5,응답,정사이즈,화면과 비슷,보통,약간 있음,,,,3.0,,,,3.0,0.0,0.0,0.0,0.0,체크셔츠 필요해서 구매했는데 시원하고 이뻐요,체크셔츠필요해서구매했는데시원하고이뻐요,0,0,0,0,0,False,24,20,24,True,wowowok,"('S', None)",0,False,2.0,drop,multi_type_dup,False,84795925
4969807,84799329,general,초록좋아요,이뻐서 또구매함 근데 색상이나 핏은 베이지가 괜찮은거 같음,5.0,False,LIGHT BLUE · L,179.0,76.0,남성,2026-05-28 20:07:27,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,L,LIGHT BLUE,2026,5,28,목,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,이뻐서 또구매함 근데 색상이나 핏은 베이지가 괜찮은거 같음,이뻐서또구매함근데색상이나핏은베이지가괜찮은거같음,0,0,0,0,0,False,32,25,32,True,초록좋아요,"('L', 'LIGHT BLUE')",2,True,3.0,drop,multi_option_dup,False,84799231
4019081,84800425,general,골드스패너,제멋 스웻반바지 이미 입고있는데 만족스러워서 피그먼트 워싱으로 다시 구입합니다 허리 조절끈이 싼티라 좀 아쉽지만 그외엔 아주 만족합니다 솔직히 가격 생각하면 진심 감사합니다ㅎ,5.0,False,딥그레이 · 2XL,175.0,80.0,남성,2026-05-28 20:50:20,사이즈: 조금 큼 / 화면 대비 색감: 어두움 / 퀄리티: 매우 좋음 / 신축성: 강함,True,0,jemut,하의,2XL,딥그레이,2026,5,28,목,5,응답,조금 큼,어두움,매우 좋음,,,강함,,5.0,,4.0,,,1.0,1.0,-1.0,1.0,제멋 스웻반바지 이미 입고있는데 만족스러워서 피그먼트 워싱으로 다시 구입합니다 허리 조절끈이 싼티라 좀 아쉽지만 그외엔 아주 만족합니다 솔직히 가격 생각하면 진심 감사합니다ㅎ,제멋스웻반바지이미입고있는데만족스러워서피그먼트워싱으로다시구입합니다허리조절끈이싼티라좀아쉽지만그외엔아주만족합니다솔직히가격생각하면진심감사합니다,1,0,0,0,0,False,97,75,97,True,골드스패너,"('2XL', '딥그레이')",0,False,2.0,drop,multi_type_dup,False,84800659
5092725,84800499,style,블랙모다,여름용으로 한벌가격에 두벌이라 좋네요. 색감과 패턴이 흔하지 안아서 맘에듭니다. 와이드핏이라 여름에도 시원하게 입을수 있겠어요. 전체적인 무드가 고급집니다.,5.0,False,INDIGO · XL,174.0,78.0,남성,2026-05-28 20:52:49,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,XL,INDIGO,2026,5,28,목,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,여름용으로 한벌가격에 두벌이라 좋네요. 색감과 패턴이 흔하지 안아서 맘에듭니다. 와이드핏이라 여름에도 시원하게 입을수 있겠어요. 전체적인 무드가 고급집니다.,여름용으로한벌가격에두벌이라좋네요색감과패턴이흔하지안아서맘에듭니다와이드핏이라여름에도시원하게입을수있겠어요전체적인무드가고급집니다,0,0,0,0,0,False,87,67,87,True,블랙모다,"('XL', 'INDIGO')",0,False,2.0,drop,multi_type_dup,False,84800477
6394371,84802909,style,어마어마한오버핏,소재. 색감. 생각했던거 보다 좋아요. 핏도 예쁘게 잡혀 있네요. 색깔별로 다 구입하고 싶음.,5.0,False,GREY · S,160.0,50.0,여성,2026-05-28 22:13:56,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,S,GREY,2026,5,28,목,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,소재. 색감. 생각했던거 보다 좋아요. 핏도 예쁘게 잡혀 있네요. 색깔별로 다 구입하고 싶음.,소재색감생각했던거보다좋아요핏도예쁘게잡혀있네요색깔별로다구입하고싶음,0,0,0,0,0,False,52,35,52,True,어마어마한오버핏,"('S', 'GREY')",0,False,4.0,drop,multi_type_dup,False,84802889
6394371,84802951,general,어마어마한오버핏,소재. 색감. 생각했던거 보다 좋아요. 핏도 예쁘게 잡혀 있네요. 색깔별로 다 구입하고 싶음.,5.0,False,BLACK · S,160.0,50.0,여성,2026-05-28 22:14:53,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,S,BLACK,2026,5,28,목,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,소재. 색감. 생각했던거 보다 좋아요. 핏도 예쁘게 잡혀 있네요. 색깔별로 다 구입하고 싶음.,소재색감생각했던거보다좋아요핏도예쁘게잡혀있네요색깔별로다구입하고싶음,0,0,0,0,0,False,52,35,52,True,어마어마한오버핏,"('S', 'BLACK')",0,False,4.0,drop,multi_option_dup,False,84802889
6394371,84802966,style,어마어마한오버핏,소재. 색감. 생각했던거 보다 좋아요. 핏도 예쁘게 잡혀 있네요. 색깔별로 다 구입하고 싶음.,5.0,False,BLACK · S,160.0,50.0,여성,2026-05-28 22:15:23,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,S,BLACK,2026,5,28,목,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,소재. 색감. 생각했던거 보다 좋아요. 핏도 예쁘게 잡혀 있네요. 색깔별로 다 구입하고 싶음.,소재색감생각했던거보다좋아요핏도예쁘게잡혀있네요색깔별로다구입하고싶음,0,0,0,0,0,False,52,35,52,True,어마어마한오버핏,"('S', 'BLACK')",0,False,4.0,drop,multi_option_type_dup,False,84802889
4969807,84803432,style,초록좋아요,이뻐서 또구매함 근데 색상이나 핏은 베이지가 괜찮은거 같음,5.0,False,LIGHT BLUE · L,179.0,76.0,남성,2026-05-28 22:29:46,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,L,LIGHT BLUE,2026,5,28,목,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,이뻐서 또구매함 근데 색상이나 핏은 베이지가 괜찮은거 같음,이뻐서또구매함근데색상이나핏은베이지가괜찮은거같음,0,0,0,0,0,False,32,25,32,True,초록좋아요,"('L', 'LIGHT BLUE')",2,True,3.0,drop,multi_option_type_dup,False,84799231
3791988,84813173,general,씩씩한멜란지의상,할인쿠폰 받어서 싸게 잘구입했습니다 만족합니다,5.0,False,L,175.0,80.0,남성,2026-05-29 12:43:55,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 신축성: 적당함,True,0,filluminate,하의,L,,2026,5,29,금,5,응답,정사이즈,화면과 비슷,보통,,,적당함,,3.0,,3.0,,,0.0,0.0,0.0,0.0,할인쿠폰 받어서 싸게 잘구입했습니다 만족합니다,할인쿠폰받어서싸게잘구입했습니다만족합니다,0,0,0,0,0,False,25,21,25,True,씩씩한멜란지의상,"('L', None)",0,False,2.0,drop,multi_type_dup,False,84813153
3455882,84813476,style,뿌스빠스뿌하루,배송도 빠르고 입기도 편하고 좋아요 예뻐서 마음에 듭니다,5.0,False,M,175.0,65.0,남성,2026-05-29 12:59:57,사이즈: 정사이즈 / 화면 대비 색감: 화면과 비슷 / 퀄리티: 보통 / 두께감: 적당함,True,0,filluminate,아우터,M,,2026,5,29,금,5,응답,정사이즈,화면과 비슷,보통,,적당함,,,3.0,,,3.0,,0.0,0.0,0.0,0.0,배송도 빠르고 입기도 편하고 좋아요 예뻐서 마음에 듭니다,배송도빠르고입기도편하고좋아요예뻐서마음에듭니다,0,0,0,0,0,False,31,24,31,True,뿌스빠스뿌하루,"('M', None)",0,False,2.0,drop,multi_type_dup,False,84813470
